Wavelength,Intensity
569.645159,99
570.822205,93
571.995949,87
573.166282,82
574.333095,77
575.496277,72
576.65572,67
577.811313,61
578.962948,55
580.110515,50
581.253903,46
582.393004,44
583.527708,43
584.657906,41
585.783488,38
586.904344,35
588.020365,31
589.131442,28
590.237464,26
591.338323,24
592.433908,22
593.524111,20
594.608821,18
595.68793,16
596.761327,14
597.828903,13
598.890549,12
599.946154,11
600.99561,10
602.038807,8
603.075636,7
604.105986,7
605.129748,6
606.146813,5
607.157072,4
608.160414,4
609.15673,3
610.145911,3
611.127847,2
612.102428,1
613.069545,1
614.029089,1
614.98095,0
615.925018,0
616.861184,0
617.789338,1
618.709371,1
619.621173,1
620.524634,1
621.419646,1
622.306099,1
623.183882,0
624.052887,0
624.913004,0
625.764123,1
626.606135,1
627.438931,0
628.2624,1
629.076434,1
629.880922,1
630.675756,1
631.460825,1
632.23602,1
633.001232,1
633.756351,1
634.501267,1
635.235871,1
635.960054,1
636.673705,1
637.376716,1
638.068977,1
638.750378,1
639.42081,1
640.080162,1
640.728327,1
641.365193,1
641.990652,1
642.604595,1
643.20691,1
643.79749,1
644.376224,1
644.943002,1
645.497716,1
646.040256,1
646.570512,1
647.088375,1
647.593735,1
648.086483,1
648.566508,1
649.033703,1
649.487956,1
649.929158,1
650.357201,1
650.771974,1
651.173368,1
651.561273,1
651.93558,1
652.296179,1
652.642961,1
652.975816,1
653.294634,1
653.599307,1
653.889724,1
654.165776,1
654.427354,1
654.674347,1
654.906647,1
655.124144,1
655.326728,1
655.51429,1
655.68672,1
655.843908,1
655.985746,1
656.112123,1
656.222931,1
656.318059,1
656.397398,1
656.460838,1
656.50827,1
656.539585,1
656.554672,1
656.553423,1
656.535728,1
656.501476,1
656.45056,1
656.382868,1
656.298292,1
656.196722,1
656.078049,1
655.942162,1
655.788953,1
655.618312,1
655.430129,1
655.224295,1
655.000701,1
654.759236,1
654.499791,1
654.222257,1
653.926524,1
653.612482,1
653.280023,1
652.929036,1
652.559412,1
652.171041,1
651.763815,1
651.337622,1
650.892355,1
650.427902,1
649.944156,1
649.441005,1
648.918342,1
648.376055,1
647.814036,1
647.232175,1
646.630362,1
646.008489,1
645.366444,1
644.70412,1
644.021406,1
643.318192,1
642.59437,1
641.84983,1
641.084462,1
640.298156,1
639.490804,1
638.662295,1
637.81252,1
636.94137,1
636.048734,1
635.134504,1
634.19857,1
633.240822,1
632.261151,1
631.259447,1
630.2356,1
629.189502,1
628.121043,1
627.030112,1
625.916601,1
624.780401,1
623.6214,1
622.439491,1
621.234562,1
620.006506,1
618.755212,1
617.480571,1
616.182473,1
614.860809,1
613.515468,1
612.146343,1
610.753322,1
609.336297,1
607.895158,1
606.429796,1
604.9401,1
603.425962,1
601.887271,1
600.323919,1
598.735795,1
597.122791,1
595.484797,1
593.821702,1
592.133398,1
590.419775,1
588.680724,1
586.916135,1
585.125898,1
583.309904,1
581.468043,1
579.600206,1
577.706284,1
575.786166,1
573.839743,1
571.866906,1
569.867546,1
567.841551,1
565.788814,1
563.709224,1
561.602673,1
559.469049,1
557.308245,1
555.12015,1
552.904654,1
550.661649,1
548.391025,1
546.092672,1
543.76648,1
541.412341,1
539.030144,1
536.61978,1
534.18114,1
531.714113,1
529.218591,1
526.694464,1
524.141622,1
521.559956,1
518.949357,1
516.309714,1
513.640918,1
510.94286,1
508.215429,1
505.458518,1
502.672015,1
499.855812,1
497.009799,1
494.133866,1
491.227904,0
488.291804,0
485.325455,1
482.328748,1
479.301574,1
476.243824,0
473.155387,0
470.036154,0
466.886015,0
463.704862,0
460.492584,0
457.249072,0
453.974216,0
450.667907,0
447.330035,0
443.960492,0
440.559166,0
437.125949,0
433.660731,0
430.163403,0
426.633855,0
423.071978,0
419.477661,0
415.850796,0
412.191273,0
408.498982,0
404.773814,0
401.015659,0
397.224409,0
393.399952,0
389.54218,0
385.650983,0
381.726252,0
377.767876,0
373.775748,0
369.749756,0
365.689791,0
361.595745,0
357.467507,0
353.304968,0
349.108018,0
344.876548,0
340.610448,0
336.309608,0
331.97392,0
327.603273,0
323.197559,0
318.756667,0
314.280487,0
309.768912,0
305.22183,0
300.639132,0
296.02071,0
291.366452,0
286.676251,0
281.949995,0
277.187576,0
272.388885,0
267.553811,0
262.682244,0
257.774077,0
252.829198,0
247.847499,0
242.82887,0
237.7732,0
232.680382,0
227.550305,0
222.38286,0
217.177937,0
211.935426,0
206.655219,0
201.337205,0
195.981275,0
190.58732,0
185.15523,0
179.684895,0
174.176206,0
168.629053,0
163.043327,0
157.418918,0
151.755717,0
146.053614,0
140.3125,0
134.532265,0
128.712799,0
122.853994,0
116.955738,0
111.017924,0
105.040441,0
99.02318,0
92.966032,0
86.868886,0
80.731633,0
74.554164,0
68.336369,0
62.078139,0
55.779364,0
49.439935,0
43.059741,0
36.638674,0
30.176624,0
23.673481,0
17.129136,0
10.543479,0
3.916401,0
-2.752208,0
-9.462457,0
-16.214456,0
-23.008314,0
-29.844141,0
-36.722047,0
-43.642141,0
-50.604532,0
-57.60933,0
-64.656645,0
-71.746587,0
-78.879264,0
-86.054786,0
-93.273263,0
-100.534804,0
-107.839519,0
-115.187518,0
-122.578909,0
-130.013803,0
-137.492309,0
-145.014537,0
-152.580596,0
-160.190595,0
-167.844644,0
-175.542854,0
-183.285332,0
-191.07219,0
-198.903535,0
-206.779479,0
-214.70013,0
-222.665598,0
-230.675992,0
-238.731423,0
-246.831999,0
-254.97783,0
